Series ID,Year,Period,Label,Value
CUURS49BSA0,2017,M04,2017 Apr,274.589
CUURS49BSA0,2017,M06,2017 Jun,275.304
CUURS49BSA0,2017,M08,2017 Aug,275.893
CUURS49BSA0,2017,M10,2017 Oct,277.570
CUURS49BSA0,2017,M12,2017 Dec,277.414
CUURS49BSA0,2018,M02,2018 Feb,281.308
CUURS49BSA0,2018,M04,2018 Apr,283.422
CUURS49BSA0,2018,M06,2018 Jun,286.062
CUURS49BSA0,2018,M08,2018 Aug,287.664
CUURS49BSA0,2018,M10,2018 Oct,289.673
CUURS49BSA0,2018,M12,2018 Dec,289.896
